名称,PLC地址,数剧类型,功能
WCS看门狗心跳,DB101.DBW1000,WORD ,高电平1秒持续，低电平1秒持续，一直循环
WCS-全线启动,DB101.DBW1002,WORD ,收到数值1，PLC完成动作自动清零
WCS-全线停止,DB101.DBW1004,WORD ,收到数值1，PLC完成动作自动清零
WCS-全线暂停,DB101.DBW1006,WORD,收到数值1，PLC完成动作自动清零
WCS-故障复位,DB101.DBW1008,WORD,收到数值1，PLC完成动作自动清零
WCS-允许出托盘,DB101.DBW1010,WORD,"BIT 0：A1允许出货信号   （代表数据已经记录）
BIT 1：A2允许出货信号  （代表数据已经记录）
BIT 2：B1允许出货信号  （代表数据已经记录） 
BIT 3：B2允许出货信号  （代表数据已经记录） 
BIT 4：C1允许出货信号  （代表数据已经记录） 
BIT 5：C2允许出货信号  （代表数据已经记录）
BIT 6：D1允许出货信号  （代表数据已经记录）  
BIT 7：D2允许出货信号  （代表数据已经记录）                                                            BIT8：E允许出货信号  （代表数据已经记录）                                                                  BIT9：F允许出货信号  （代表数据已经记录）                                                                          BIT 10：                                                                               BIT 11：                                                                                             BIT 12：备用                                                                                    BIT 13：备用 "
WCS称重绑定成功,DB101.DBW1012,WORD ,"值为：1绑定成功，发送2秒并清除DB101.DBW62、DB101.DBW100-129
          "
WCS下货成功,DB101.DBW1014,WORD,"值为：1：下货成功，发送2秒并清除DB101.DBB130~DB101.DBB159
  "
